Age,Gender,Locality,Marital Status,Category,Economic Status,Institution type,Affiliation,Mode of Study,Undergraduate,Postgraduate,Semester,Mother's Education ,Father's Education ,Pre-Owned Disease - Mental,Pre-Owned Disease - Physical ,"PI [In case of some difficult subjects, I can't concentrate in the class.]",PI [While listening to the lectures I keep on making movements.],PI [I become uneasy or uncomfortable about my inability to take the decision about which subject and how much should I study.],PI [I feel like postponing study plan.],PI [I feel to bunk lectures when I do not understand class lectures.],PI [I become uncomfortable as I do not concentrate on my study.],PI [I experience heaviness of head while studying some subjects.],PI [I become anxious with a thought that I have a low intellectual level.],PI [I become uneasy when I fail to remember my study.],PI [I become fatigued after the study.],PI [I experience heaviness in the head when I see books and notes.],PI [I become uneasy with the idea of whether to play or study.],"PI [While studying, I feel that some subjects are beyond my grasp.]",PI [I experience duality of mind whether the selected curriculum is proper or improper for me.],"PI [Due to the dislike for some subjects, I do not feel like studying.]",PI [I am in the habit of daydreaming while listening to the lectures or studying.],IPT [I get bored with uninterested teaching.],IPT [I am afraid of examinations due to the incomplete syllabus.],IPT [I become restless when I realize that my friends have completed their study.],IPT [There is a burden of high expectations of teachers upon me.],IPT [I get irritated due to the teacher's partiality.],"IPT [I become uneasy when my friends who get the same marks like me, are appreciated by others.]",IPT [I become uncomfortable when I do not get the appointment of the teachers for clearing my doubts.],IPT [I have to study regularly in order to get more marks than my friends.],IPT [I feel like avoiding the college as my friends tease me.],IPT [I get angry because some teachers avoid lectures.],IPT [I have a pressure of completing home assignments in time.],IPT [I become frightened while answering the questions asked by the teachers.],IPT [I feel the pressure of teachers' strict discipline.],IPT [I become uneasy when I waste my time in the company of my friends.],IPT [I feel pressure while communicating with teachers due to the internal disputes between them.],IPT [I dare not asking questions to the teachers.],"IPT [Due to the grouping of students, I always feel under the pressure.]",FE [I become restless due to the non-preparation in the examination.],FE [I become sad or nervous with the idea of getting fewer marks in the examination.],FE [I become irritated because I do not get enough sleep during the examination.],FE [It troubles me that I might fell sick during the examination.],FE [I have become insensitive due to exhaustive study.],FE [I experience the problem of indigestion during examination time.],FE [I become frightened while entering the examination hall.],FE [I am afraid of failure in the examination despite good study.],FE [I frequently become sick during the examination.],FE [I don't have sound sleep due to the thoughts of examination.],FE [I become tense due to the incomplete study of some subjects.],IFC [I become unenthusiastic due to the non-ventilated atmosphere in the classroom.],IFC [I become angry due to the non-cooperation of the non-teaching staff.],IFC [I become nervous if I do not get a seat in the study room.],IFC [I get bored due to non-ventilated classrooms.],IFC [The constant noise around the college campus troubles me.],IFC [Academic overload makes me tired.],IFC [I become fatigued due to the busy academic schedule of college.],IFC [I feel like taking holiday due to the academic burden.],"IFC [Due to unavailability of expert teachers and inadequate subject knowledge of teachers, I become uncomfortable.]",PE&SES [I feel the pressure of strict disciplined parents.],PE&SES [I get tired adjusting with study and household duties.],PE&SES [There is a pressure of parents on me to get highest marks.],PE&SES [I become nervous as I can't participate in trip due to financial problems.],PE&SES [There is a pressure of parents on me to study hard instead of wasting time in the company of friends.],PE&SES [The financial problem of my family makes me anxious.],PE&SES [I am irritated with the constant suggestions by the parents for study.],PE&SES [There is a pressure of returning home early from the college.],PE&SES [I become sad because I cannot enjoy like my other friends due to financial problems.],PE&SES [There is a pressure of parents on me to score more marks than my friends.],PE&SES [I feel nervous because I can't purchase reference books or notes in time.],PE&SES [I suffer from an inferiority complex because the social status of my family is low compared to friends.],PE&SES [There is a pressure of parents on me to participate in extracurricular activities.],PI_Score,IPT_Score,FE_Score,IFC_Score,PESES_Score,Total_Stress_Score
Between 18 to 25,Male,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Science,Science,Forth,Above Graduation,Above Graduation,No,No,2,3,4,2,2,2,4,2,4,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,40,34,26,20,26,146
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Science,Science,Second,Graduate,Graduate,No,No,3,2,2,1,2,3,3,2,2,3,2,2,3,2,2,2,1,2,2,3,2,1,1,5,2,2,2,3,2,4,2,3,2,3,3,2,4,3,2,2,2,2,2,2,2,2,2,2,3,1,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,36,39,27,17,27,146
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Science,Science,Second,Literate,Above Graduation,No,No,4,4,4,4,2,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,3,3,4,4,3,4,4,4,4,5,3,4,2,4,3,4,4,4,2,2,2,2,2,2,3,3,3,3,3,4,2,3,3,2,4,2,2,2,2,2,2,2,2,2,2,3,60,61,31,27,29,208
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Science,Science,Forth,Intermediate,Intermediate,No,No,4,2,2,2,4,4,4,2,2,2,4,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,42,38,22,18,28,148
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Private,Regular mode,Science,Science,Second,Intermediate,Graduate,No,No,4,2,4,2,2,4,2,4,4,4,2,2,4,4,2,2,2,4,4,4,2,4,4,2,2,2,2,4,2,2,2,2,2,2,4,2,4,4,2,4,2,3,2,2,4,2,4,1,4,2,4,4,2,3,3,4,4,2,2,4,2,2,2,2,2,4,48,46,31,27,36,188
Between 18 to 25,Male,Urban,Unmarried,Scheduled Caste,Above Poverty Line (APL),College,Government,Regular mode,Science,Science,Forth,Graduate,Above Graduation,No,No,3,3,3,4,4,4,4,3,3,4,3,3,3,3,4,1,5,4,3,3,4,3,3,3,2,5,4,3,3,2,4,3,2,3,4,3,4,2,3,3,2,3,3,3,3,3,2,3,2,4,3,2,5,2,2,2,3,3,4,2,2,2,2,2,2,2,52,56,33,27,30,198
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Science,Science,Second,Literate,Literate,No,No,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,34,22,18,26,132
Between 18 to 25,Male,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Science,Science,Second,Literate,Literate,No,No,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,4,2,4,2,2,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,4,2,2,2,2,4,4,2,2,2,2,2,2,2,33,47,22,22,30,154
Between 18 to 25,Female,Rural,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),University,Government,Regular mode,Science,Science,Second,Literate,Literate,No,No,2,1,2,1,1,3,2,1,3,2,1,2,2,3,2,1,2,3,3,2,1,1,3,3,1,2,2,1,2,3,2,2,1,4,4,3,3,2,1,2,3,1,2,2,1,2,2,2,2,1,2,2,2,2,3,2,3,3,3,2,2,3,2,3,2,2,29,34,27,16,32,138
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Science,Science,Second,Intermediate,Intermediate,No,No,3,4,4,2,3,4,5,2,5,3,2,2,4,2,2,2,4,4,4,2,4,1,2,4,2,2,4,2,4,4,4,4,2,2,4,4,2,2,2,4,4,2,5,4,2,4,4,4,4,2,2,4,2,2,4,2,2,4,1,2,2,2,3,1,2,2,49,53,35,28,29,194
Between 18 to 25,Male,Rural,Unmarried,Scheduled Caste,Below Poverty Line (BPL),College,Government,Regular mode,Science,Science,Forth,Literate,Literate,No,No,4,1,4,2,5,4,4,3,4,4,3,2,2,4,2,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,2,2,2,4,2,4,2,2,2,2,2,2,2,2,4,4,4,4,4,4,2,4,2,4,4,2,2,4,4,2,2,2,2,2,4,2,52,52,26,32,36,198
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),College,Private,Regular mode,Science,Science,Forth,Graduate,Graduate,No,No,2,3,4,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,46,56,41,36,52,231
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Science,Science,Second,Literate,Intermediate,No,No,4,2,3,3,4,4,3,3,4,3,2,2,4,4,2,3,4,4,4,2,3,3,3,4,1,2,3,4,3,4,2,4,3,4,4,3,2,3,3,4,4,2,3,4,2,3,2,2,2,3,3,3,3,3,3,3,3,2,3,3,2,3,2,4,3,3,50,53,36,23,37,199
Between 18 to 25,Male,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Science,Science,Forth,Literate,Literate,No,No,2,2,3,4,1,4,2,2,3,4,2,2,2,2,2,4,3,2,3,4,4,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,3,3,3,2,2,4,2,2,2,4,2,3,3,2,3,5,3,2,4,2,3,2,3,41,40,21,24,37,163
Between 18 to 25,Male,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Science,Not Applicable,Second,Graduate,Graduate,No,No,4,3,2,3,4,3,5,2,4,3,4,4,5,4,4,4,4,5,5,3,2,2,2,2,2,4,4,3,3,2,2,2,2,5,5,2,5,2,5,5,5,2,2,5,2,4,2,2,2,4,4,3,2,5,2,3,2,3,2,4,2,2,3,4,2,2,58,49,43,25,36,211
Between 18 to 25,Female,Urban,Unmarried,Other Backward Classes (OBC),Above Poverty Line (APL),University,Private,Regular mode,Arts,Arts,Sixth,Intermediate,Intermediate,No,No,2,2,2,2,2,4,4,2,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,38,38,22,18,26,142
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Arts,MBA,Second,Above Graduation,Above Graduation,No,No,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,30,22,18,26,128
Between 18 to 25,Male,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Science,Not Applicable,Forth,Above Graduation,Intermediate,No,No,3,2,2,2,2,3,2,2,4,3,2,2,2,2,2,2,4,2,3,4,2,2,2,2,2,2,3,2,2,3,2,2,2,2,4,2,4,2,2,2,2,2,2,3,4,2,2,3,4,4,2,2,2,2,2,2,2,4,2,3,2,2,2,2,2,2,37,41,27,25,29,159
Between 18 to 25,Male,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Arts,Arts,Eighth,Intermediate,Above Graduation,No,No,5,5,5,4,2,4,1,5,4,2,3,4,3,1,3,4,4,5,3,5,1,1,2,2,2,1,3,1,1,1,2,2,4,3,3,4,4,3,2,4,1,1,1,1,1,4,5,5,5,5,4,3,3,4,3,5,5,1,5,4,3,3,3,3,1,2,55,40,27,35,42,199
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Distance mode,Science,Science,Forth,Literate,Literate,No,No,3,2,2,2,1,2,3,2,5,4,1,3,3,5,1,4,4,4,4,3,4,4,4,4,1,3,4,1,2,4,4,1,3,4,4,2,4,2,3,1,4,1,4,4,2,3,4,2,4,4,4,4,5,1,4,3,4,4,5,4,5,2,4,2,2,2,43,54,33,32,42,204
Between 18 to 25,Male,Rural,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),University,Private,Regular mode,Arts,Arts,Second,Literate,Literate,No,No,4,4,4,2,4,4,5,2,1,3,5,4,3,3,2,1,3,3,4,3,3,3,4,3,3,5,4,4,2,4,5,3,3,3,3,4,5,3,3,3,4,2,3,4,4,4,4,4,3,4,4,4,4,3,4,5,3,2,2,4,4,4,4,5,3,4,51,59,37,35,47,229
Between 18 to 25,Male,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Science,Science,Sixth,Literate,Literate,No,No,4,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,5,1,1,1,1,1,1,2,5,5,5,4,4,3,2,4,2,4,4,4,5,2,4,2,4,2,4,2,2,4,2,4,2,2,38,39,27,32,36,172
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Distance mode,Science,Science,Third,Above Graduation,Above Graduation,No,No,5,4,4,3,4,4,2,3,4,4,4,3,5,5,4,5,5,5,5,4,5,3,4,4,3,3,4,3,3,4,4,2,3,5,5,5,4,2,2,4,4,2,4,4,4,5,2,4,4,4,4,5,5,3,4,5,4,5,4,5,5,4,5,5,4,3,63,64,41,37,56,261
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Science,Science,Second,Literate,Graduate,No,No,2,2,3,2,2,2,3,3,3,2,2,1,3,3,2,3,4,4,2,2,2,2,3,2,2,3,2,3,2,1,2,2,1,2,4,2,2,2,2,3,2,3,3,1,2,2,2,3,1,1,3,3,3,2,2,3,2,3,2,2,3,3,2,2,2,2,38,39,26,20,30,153
Between 18 to 25,Male,Rural,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),University,Government,Regular mode,Science,Arts,Second,Graduate,Literate,No,No,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,4,5,5,5,4,3,3,4,5,5,5,5,4,3,3,4,4,5,5,2,1,1,3,3,3,4,5,5,5,4,4,4,3,3,4,5,5,4,4,4,4,5,4,4,5,5,5,80,70,34,37,58,279
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),University,Private,Regular mode,Science,Science,Second,Graduate,Above Graduation,No,No,4,4,5,5,2,4,3,2,2,4,2,2,2,3,2,3,5,4,2,3,4,2,2,3,2,2,2,5,2,5,2,5,4,4,3,4,4,5,5,4,2,2,4,3,5,3,4,4,5,2,4,5,3,4,4,2,4,2,5,2,2,2,2,4,1,2,49,54,40,35,36,214
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Distance mode,Arts,Not Applicable,First,Graduate,Intermediate,No,No,3,3,4,2,2,2,2,2,4,3,2,2,3,4,2,3,4,2,2,2,2,2,3,3,3,3,2,3,3,4,3,3,3,3,4,2,2,3,2,2,4,2,3,3,3,3,3,3,3,4,2,5,4,4,4,5,3,5,5,3,2,2,5,3,2,4,43,47,30,30,47,197
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),sgrr pg college ,Government,Distance mode,Arts,Arts,First,Intermediate,Intermediate,No,No,4,4,5,4,3,4,5,3,4,5,5,3,5,4,4,4,5,4,5,4,5,2,3,4,2,4,3,4,4,1,3,3,3,3,3,3,3,3,3,3,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,3,66,59,34,36,45,240
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Distance mode,Science,Science,First,Above Graduation,Above Graduation,No,No,3,3,3,1,1,4,4,3,4,3,3,4,4,3,5,4,4,5,4,5,3,4,2,4,2,3,2,3,3,3,3,3,2,3,4,4,4,4,3,3,4,4,3,3,4,3,3,3,4,4,4,3,3,3,2,4,5,3,3,5,4,5,4,2,3,3,52,55,39,31,46,223
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),University,Private,Distance mode,Commerce,Commerce,First,Graduate,Graduate,No,No,3,3,2,2,2,4,4,1,4,2,2,4,1,4,4,3,5,1,1,3,4,2,5,2,2,3,5,3,1,3,4,2,2,1,3,5,2,1,1,1,3,1,1,1,1,3,3,2,4,3,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,4,45,48,20,21,17,151
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Distance mode,Arts,Arts,Second,Graduate,Above Graduation,No,No,4,3,4,4,2,4,4,3,4,3,2,3,2,2,3,3,4,4,3,3,4,4,3,3,3,4,3,4,3,4,3,4,4,4,4,2,4,3,2,4,4,2,2,4,5,4,4,3,5,4,4,4,4,2,4,3,3,4,4,2,2,4,2,2,2,2,50,60,35,37,36,218
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Distance mode,Arts,Not Applicable,First,Graduate,Intermediate,No,No,4,3,4,3,4,4,4,4,4,4,3,2,4,4,4,3,4,4,4,2,4,2,2,2,4,2,4,2,2,2,3,4,3,3,2,3,2,2,3,2,2,2,2,2,2,4,4,4,4,4,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,58,50,25,31,26,190
Between 18 to 25,Female,Rural,Unmarried,Other Backward Classes (OBC),Above Poverty Line (APL),University,Government,Distance mode,Commerce,Not Applicable,First,Literate,Literate,No,No,4,2,2,1,1,1,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33,38,23,18,26,138
Between 18 to 25,Male,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Arts,Not Applicable,Sixth,Intermediate,Above Graduation,No,No,3,2,4,2,4,4,3,4,4,3,3,3,4,4,4,4,4,2,2,4,4,4,4,3,2,3,4,2,2,2,4,2,2,4,4,3,4,2,3,2,5,2,4,4,4,4,4,4,5,3,3,4,4,2,3,2,3,2,4,2,2,2,2,2,2,2,55,50,37,35,30,207
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),College,Private,Distance mode,Commerce,Commerce,Second,Intermediate,Intermediate,No,No,3,5,4,4,4,4,5,4,5,1,2,4,4,4,4,5,5,4,4,5,4,4,2,3,4,5,4,4,4,4,5,1,1,4,2,5,4,5,5,4,5,5,4,4,3,3,4,5,5,5,5,4,4,4,4,5,5,5,5,4,4,3,5,5,5,5,62,63,47,38,59,269
Between 18 to 25,Female,Rural,Unmarried,Scheduled Caste,Above Poverty Line (APL),College,Private,Distance mode,Science,Arts,First,Literate,Intermediate,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,4,5,4,5,4,4,4,4,4,4,64,66,43,35,53,261
Between 18 to 25,Male,Urban,Unmarried,General,Below Poverty Line (BPL),University,Government,Distance mode,Commerce,Commerce,First,Intermediate,Intermediate,No,No,5,5,5,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,76,85,55,45,65,326
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Distance mode,Arts,Not Applicable,First,Literate,Literate,No,No,4,4,4,4,5,3,3,3,3,4,3,5,4,2,3,4,3,3,3,4,4,3,2,1,3,2,4,3,3,2,4,3,4,3,4,3,4,4,3,4,3,2,3,3,4,3,3,3,3,3,3,4,4,2,1,5,4,3,5,3,4,4,3,5,4,3,58,51,36,30,46,221
Between 18 to 25,Male,Rural,Unmarried,Scheduled Caste,Above Poverty Line (APL),University,Government,Distance mode,Arts,Arts,First,Literate,Literate,No,No,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,1,2,3,2,3,2,5,4,3,2,2,3,3,3,3,2,4,4,3,4,4,4,3,3,3,4,4,4,4,3,4,4,2,3,3,3,3,4,2,3,2,3,3,4,3,3,3,3,3,3,3,38,50,40,29,38,195
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),University,Government,Distance mode,Arts,Arts,First,Literate,Literate,No,No,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,4,2,2,4,4,4,2,2,2,4,4,2,4,2,2,2,4,4,4,2,2,1,2,2,2,4,2,4,2,2,2,2,2,2,2,38,38,34,23,30,163
Between 18 to 25,Male,Rural,Unmarried,General,Antyodaya,University,Private,Regular mode,Arts,Arts,Third,Intermediate,Intermediate,No,No,2,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,4,2,2,3,2,4,3,4,4,3,4,5,5,5,5,3,3,3,4,4,4,1,3,3,3,4,3,3,3,2,3,3,1,49,54,35,37,36,211
Between 18 to 25,Female,Urban,Unmarried,Scheduled Caste,Above Poverty Line (APL),University,Private,Regular mode,Science,Science,Second,Intermediate,Intermediate,No,No,3,2,2,2,2,3,4,2,2,2,2,2,2,3,2,4,2,2,2,4,2,2,2,3,5,3,3,3,2,2,4,2,5,2,5,5,4,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,2,2,2,3,2,4,2,2,4,2,2,2,2,2,39,48,44,24,31,186
Between 18 to 25,Female,Urban,Married,General,Above Poverty Line (APL),University,Private,Regular mode,Science,Science,Forth,Intermediate,Graduate,No,No,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33,34,25,18,26,136
Between 18 to 25,Male,Urban,Unmarried,General,Above Poverty Line (APL),University,Private,Regular mode,Science,Science,Second,Graduate,Above Graduation,No,No,3,2,2,1,1,3,2,1,2,2,1,1,2,3,2,3,3,4,3,2,2,3,2,4,1,1,2,1,1,1,1,1,2,4,3,1,3,1,2,3,1,2,1,2,1,1,1,2,1,3,2,1,1,2,2,3,1,4,2,2,2,2,3,1,1,3,31,34,23,13,28,129
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),University,Private,Regular mode,Science,Science,Second,Above Graduation,Above Graduation,No,No,3,3,4,4,5,4,3,2,3,1,1,1,1,1,1,3,4,3,4,3,5,4,4,5,1,5,3,3,2,4,1,1,4,4,4,4,4,1,1,1,4,3,1,4,4,4,2,4,4,1,1,1,4,2,4,4,1,4,1,1,4,1,4,1,1,3,40,56,31,25,31,183
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),University,Private,Regular mode,Science,Science,Second,Graduate,Graduate,No,No,3,1,1,2,3,2,2,2,2,2,2,2,3,2,3,2,5,2,2,2,4,1,3,3,2,4,3,2,3,2,4,2,2,2,2,4,2,2,2,2,3,2,2,4,3,3,2,2,2,2,3,4,4,2,3,2,3,2,2,2,5,2,2,2,2,2,34,46,27,25,31,163
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),University,Private,Regular mode,Science,Science,Second,Literate,Literate,No,No,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,17,11,9,13,69
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Science,Science,Forth,Literate,Intermediate,No,No,2,1,2,1,3,4,2,4,2,1,1,1,1,1,4,1,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,2,5,5,3,3,3,3,2,3,4,4,5,5,3,3,2,3,4,4,5,4,4,4,31,77,42,31,50,231
Between 18 to 25,Male,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Science,Science,Second,Above Graduation,Intermediate,No,No,3,5,3,4,3,3,2,1,4,3,2,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,3,5,3,5,3,3,3,3,3,3,3,4,4,3,5,3,4,5,5,3,3,4,3,3,4,5,2,5,5,5,3,3,3,48,56,37,36,48,225
Between 18 to 25,Female,Urban,Unmarried,Scheduled Caste,Above Poverty Line (APL),University,Government,Regular mode,Science,Science,Forth,Intermediate,Above Graduation,No,No,3,4,2,2,1,2,4,2,2,2,2,2,2,2,2,4,2,2,1,2,4,1,1,4,1,2,2,2,2,3,2,2,1,1,2,2,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,38,34,24,18,24,138
Between 18 to 25,Female,Urban,Unmarried,Scheduled Caste,Below Poverty Line (BPL),College,Government,Regular mode,Science,Science,Forth,Literate,Literate,No,No,3,3,3,2,2,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,46,51,33,27,39,196
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Science,Science,Forth,Literate,Literate,No,No,3,3,4,1,3,4,5,4,4,4,4,3,4,4,5,4,4,2,5,3,4,5,4,5,2,2,2,3,3,5,3,4,2,5,5,5,5,4,4,5,4,3,2,4,4,3,4,3,4,2,2,2,2,3,2,1,2,3,2,2,3,2,1,2,2,2,59,58,46,26,27,216
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Science,Science,Second,Literate,Intermediate,No,No,4,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,2,2,2,2,3,3,2,2,2,3,3,3,3,4,5,4,3,2,2,3,2,2,4,4,4,4,2,4,4,4,4,4,4,4,2,3,3,3,3,4,3,3,2,2,44,43,33,34,40,194
Between 18 to 25,Male,Rural,Unmarried,General,Below Poverty Line (BPL),University,Private,Regular mode,Science,Science,Sixth,Literate,Literate,No,No,3,2,2,2,3,4,4,2,3,2,2,3,3,4,2,2,4,2,2,3,2,3,4,3,2,5,3,5,3,3,5,5,5,3,5,5,2,4,4,1,2,1,1,1,4,4,5,5,3,3,4,3,4,1,5,1,2,3,4,1,1,1,1,1,1,1,43,59,29,35,23,189
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Science,Not Applicable,Sixth,Graduate,Graduate,No,No,4,4,4,5,3,4,3,3,4,3,3,4,4,5,4,4,5,5,5,3,3,3,4,4,3,4,4,3,4,4,3,2,4,4,4,4,4,4,3,4,2,2,3,4,5,5,2,5,3,4,4,2,5,3,5,3,4,3,4,4,3,2,4,4,3,2,61,63,38,35,44,241
